Package                Version   Latest    Type
---------------------- --------- --------- -----
cuda-toolkit           13.0.2    13.2.1    wheel
mpmath                 1.3.0     1.4.1     wheel
nvidia-cublas          13.1.0.3  13.4.1.1  wheel
nvidia-cuda-cupti      13.0.85   13.2.75   wheel
nvidia-cuda-nvrtc      13.0.88   13.2.78   wheel
nvidia-cuda-runtime    13.0.96   13.2.75   wheel
nvidia-cudnn-cu13      9.19.0.56 9.21.1.3  wheel
nvidia-cufft           12.0.0.61 12.2.0.46 wheel
nvidia-cufile          1.15.1.6  1.17.1.22 wheel
nvidia-curand          10.4.0.35 10.4.2.55 wheel
nvidia-cusolver        12.0.4.66 12.2.0.1  wheel
nvidia-cusparse        12.6.3.3  12.7.10.1 wheel
nvidia-cusparselt-cu13 0.8.0     0.9.1     wheel
nvidia-nccl-cu13       2.28.9    2.30.4    wheel
nvidia-nvjitlink       13.0.88   13.2.78   wheel
nvidia-nvshmem-cu13    3.4.5     3.6.5     wheel
nvidia-nvtx            13.0.85   13.2.75   wheel
setuptools             81.0.0    82.0.1    wheel
