step,loss,acc,gain_raw_row,gain_raw_col,gain_raw_max,gain_applied_row,gain_applied_col,gain_applied_max,harm_scale,floor_hits,wall_time_sec
0,5.782888412475586,0.0,1.509186029434204,1.392043113708496,1.509186029434204,1.509186029434204,1.392043113708496,1.509186029434204,1.0,0,0.6864323220215738
500,4.801934242248535,0.015625,5.246550559997559,6.490556716918945,6.490556716918945,5.246550559997559,6.490556716918945,6.490556716918945,1.0,0,115.96068515209481
1000,4.788708209991455,0.0625,6.474949836730957,7.247157096862793,7.247157096862793,6.474949836730957,7.247157096862793,7.247157096862793,1.0,0,231.2918079169467
1500,4.747828483581543,0.046875,7.481359004974365,10.580528259277344,10.580528259277344,7.481359004974365,10.580528259277344,10.580528259277344,1.0,0,346.59510765690356
2000,4.717546463012695,0.078125,12.320121765136719,16.187463760375977,16.187463760375977,8.346139907836914,11.591164588928223,11.591164588928223,0.8184146281174199,0,461.8642099390272
2500,4.827136039733887,0.046875,15.459493637084961,23.209209442138672,23.209209442138672,8.157758712768555,12.472010612487793,12.472010612487793,0.7234328603920174,0,577.1141395240556
3000,4.585564613342285,0.109375,43.8602409362793,49.68492889404297,49.68492889404297,9.22238540649414,11.773857116699219,11.773857116699219,0.5409491181737889,0,692.482770496048
3500,4.694809913635254,0.078125,4451.3486328125,3862.02099609375,4451.3486328125,11.993328094482422,9.57119083404541,11.993328094482422,0.22049346625778893,0,807.8325632899068
4000,4.582789421081543,0.09375,8393.1015625,6250.13427734375,8393.1015625,12.11569595336914,8.12134075164795,12.11569595336914,0.20370473355673852,0,923.2038521040231
4500,4.587490558624268,0.0625,8643.14453125,5866.98828125,8643.14453125,12.240468978881836,7.794934272766113,12.240468978881836,0.2043446251488034,0,1038.5699528430123
5000,4.612423419952393,0.09375,37549.4296875,22400.595703125,37549.4296875,12.091772079467773,7.843106269836426,12.091772079467773,0.16937068123715576,0,1153.8251788141206
5500,4.562558174133301,0.09375,41670.90234375,27355.390625,41670.90234375,12.068836212158203,8.51815414428711,12.068836212158203,0.16641920306422436,0,1269.2070217179134
6000,4.662325859069824,0.09375,120959.09375,111245.9765625,120959.09375,11.86134147644043,9.574918746948242,11.86134147644043,0.14767697544034764,0,1384.6140776539687
6500,4.4663286209106445,0.125,112294.375,137486.5625,137486.5625,11.923467636108398,10.19327163696289,11.923467636108398,0.1440926254908399,0,1499.926436791895
7000,4.413220405578613,0.078125,436227.125,473531.8125,473531.8125,12.044164657592773,10.621097564697266,12.044164657592773,0.1327092325102239,0,1615.25844851695
7500,4.43525505065918,0.109375,1800835.25,1566490.5,1800835.25,12.065908432006836,10.118002891540527,12.065908432006836,0.1246238068225519,0,1730.4999786710832
8000,4.473194122314453,0.125,2769667.25,3560104.5,3560104.5,11.810518264770508,10.497331619262695,11.810518264770508,0.11416295457426134,0,1845.8556941330899
8500,4.528515338897705,0.09375,3466510.25,6067304.0,6067304.0,12.061121940612793,10.937703132629395,12.061121940612793,0.10962073915351984,0,1961.2242998809088
9000,4.477485179901123,0.09375,12882896.0,17975690.0,17975690.0,12.059760093688965,10.876386642456055,12.059760093688965,0.10071872038240026,0,2076.593393540941
9500,4.403286933898926,0.125,12585355.0,17990740.0,17990740.0,11.893088340759277,10.468507766723633,11.893088340759277,0.09970449419749915,0,2191.960843366105
10000,4.375823020935059,0.078125,14219544.0,14486976.0,14486976.0,12.133179664611816,9.2266845703125,12.133179664611816,0.1026700794646898,0,2307.184650307987
10500,4.291140079498291,0.125,16759999.0,18833520.0,18833520.0,12.117609024047852,8.738155364990234,12.117609024047852,0.10240457685056034,0,2422.577585187042
11000,4.353310585021973,0.125,18692288.0,22602928.0,22602928.0,11.976898193359375,8.318988800048828,11.976898193359375,0.10218400273880864,0,2537.9500804310665
11500,4.256009101867676,0.140625,13432215.0,13679852.0,13679852.0,11.909558296203613,8.946364402770996,11.909558296203613,0.10330708018777543,0,2653.288331442047
12000,4.33807373046875,0.09375,13715160.0,14807967.0,14807967.0,12.044977188110352,8.789118766784668,12.044977188110352,0.10316525768719732,0,2768.6727723251097
12500,4.230898857116699,0.109375,24445036.0,29502212.0,29502212.0,12.045917510986328,7.671651840209961,12.045917510986328,0.09903419351274498,0,2883.980971389916
13000,4.071836471557617,0.15625,20169720.0,24996000.0,24996000.0,11.905229568481445,7.627959251403809,11.905229568481445,0.09857766422801612,0,2999.4131994389463
13500,4.271191120147705,0.140625,40861572.0,42640576.0,42640576.0,11.955242156982422,7.0609893798828125,11.955242156982422,0.09637345355788472,0,3114.7589224679396
14000,4.222319602966309,0.140625,33332896.0,17492434.0,33332896.0,11.985445022583008,7.86536169052124,11.985445022583008,0.10053217453867663,0,3230.094893547939
14500,4.300333499908447,0.09375,68694512.0,30515528.0,68694512.0,11.909076690673828,7.706859588623047,11.909076690673828,0.09738465161230614,0,3345.4501837329008
14999,4.331296443939209,0.125,281125248.0,168736064.0,281125248.0,11.953941345214844,8.768126487731934,11.953941345214844,0.09354224570328529,0,3460.4645345041063
