step,loss,accuracy,raw_gain,applied_gain,scale,mode,seed,acc,gain_raw_row,gain_raw_col,gain_raw_max,gain_applied_row,gain_applied_col,gain_applied_max,harm_scale,floor_hits,wall_time_sec
0,5.700737953186035,0.0,1.470405101776123,1.470405101776123,1.0,harm,1,0.0,1.3630698919296265,1.470405101776123,1.470405101776123,1.3630698919296265,1.470405101776123,1.470405101776123,1.0,0,2.108600007952191
500,4.9363203048706055,0.0,7.932249546051025,7.932249546051025,1.0,harm,1,0.0,7.540353775024414,7.932249546051025,7.932249546051025,7.540353775024414,7.932249546051025,7.932249546051025,1.0,0,575.1987076109508
1000,4.861322402954102,0.0,9.7177152633667,9.7177152633667,1.0,harm,1,0.0,8.734621047973633,9.7177152633667,9.7177152633667,8.734621047973633,9.7177152633667,9.7177152633667,1.0,0,1151.630844780011
1500,4.846414566040039,0.015625,37.95466613769531,11.032164573669434,0.6448535178172892,harm,1,0.015625,31.201786041259766,37.95466613769531,37.95466613769531,10.24151611328125,11.032164573669434,11.032164573669434,0.6448535178172892,0,1727.5543845479842
2000,4.823024749755859,0.015625,218.62167358398438,11.721833229064941,0.42720990159135236,harm,1,0.015625,168.96847534179688,218.62167358398438,218.62167358398438,11.159317970275879,11.721833229064941,11.721833229064941,0.42720990159135236,0,2303.008900795947
2500,4.662108421325684,0.09375,1435.48046875,12.660486221313477,0.3208543378485934,harm,1,0.09375,1110.453369140625,1435.48046875,1435.48046875,12.44566535949707,12.660486221313477,12.660486221313477,0.3208543378485934,0,2878.611758078914
3000,4.714962005615234,0.078125,3760.2685546875,12.20271110534668,0.2647788995749925,harm,1,0.078125,2902.02490234375,3760.2685546875,3760.2685546875,12.20271110534668,12.05273723602295,12.20271110534668,0.2647788995749925,0,3454.3575632480206
3500,4.659604072570801,0.078125,11398.388671875,12.052440643310547,0.22089959631387984,harm,1,0.078125,9057.62109375,11398.388671875,11398.388671875,11.177356719970703,12.052440643310547,12.052440643310547,0.22089959631387984,0,4029.68864051695
4000,4.554255485534668,0.078125,21906.55078125,12.097498893737793,0.19468380617101852,harm,1,0.078125,16548.35546875,21906.55078125,21906.55078125,10.317697525024414,12.097498893737793,12.097498893737793,0.19468380617101852,0,4605.043989054975
4500,4.633769989013672,0.09375,23309.904296875,11.959125518798828,0.18305613770436316,harm,1,0.09375,16651.951171875,23309.904296875,23309.904296875,9.546257019042969,11.959125518798828,11.959125518798828,0.18305613770436316,0,5183.073961379938
