step,loss,accuracy,raw_gain,applied_gain,scale,mode,seed,acc,gain_raw_row,gain_raw_col,gain_raw_max,gain_applied_row,gain_applied_col,gain_applied_max,harm_scale,floor_hits,wall_time_sec
0,5.7298665046691895,0.0,1.443758249282837,1.443758249282837,1.0,hc,2,0.0,1.443758249282837,1.3548599481582642,1.443758249282837,1.443758249282837,1.3548599481582642,1.443758249282837,1.0,0,2.6269787850324064
500,4.881548881530762,0.015625,6.504774570465088,6.504774570465088,1.0,hc,2,0.015625,6.099350929260254,6.504774570465088,6.504774570465088,6.099350929260254,6.504774570465088,6.504774570465088,1.0,0,493.67065794509836
1000,4.909722328186035,0.0,8.886018753051758,8.886018753051758,1.0,hc,2,0.0,8.662841796875,8.886018753051758,8.886018753051758,8.662841796875,8.886018753051758,8.886018753051758,1.0,0,999.2705616930034
1500,4.688982963562012,0.0625,18.18782615661621,18.18782615661621,1.0,hc,2,0.0625,14.795204162597656,18.18782615661621,18.18782615661621,14.795204162597656,18.18782615661621,18.18782615661621,1.0,0,1539.003639582079
2000,4.621975898742676,0.078125,21.14980697631836,21.14980697631836,1.0,hc,2,0.078125,18.694805145263672,21.14980697631836,21.14980697631836,18.694805145263672,21.14980697631836,21.14980697631836,1.0,0,2086.552375744097
2500,4.789533615112305,0.0625,33.087074279785156,33.087074279785156,1.0,hc,2,0.0625,27.888935089111328,33.087074279785156,33.087074279785156,27.888935089111328,33.087074279785156,33.087074279785156,1.0,0,2606.8295125090517
3000,4.698943138122559,0.078125,46.25514221191406,46.25514221191406,1.0,hc,2,0.078125,41.68927001953125,46.25514221191406,46.25514221191406,41.68927001953125,46.25514221191406,46.25514221191406,1.0,0,3130.029800776043
3500,4.613062858581543,0.109375,65.62178039550781,65.62178039550781,1.0,hc,2,0.109375,59.74708557128906,65.62178039550781,65.62178039550781,59.74708557128906,65.62178039550781,65.62178039550781,1.0,0,3699.581944391015
4000,4.593478679656982,0.109375,74.18626403808594,74.18626403808594,1.0,hc,2,0.109375,58.68387985229492,74.18626403808594,74.18626403808594,58.68387985229492,74.18626403808594,74.18626403808594,1.0,0,4270.562568738009
4500,4.758912563323975,0.046875,67.11685943603516,67.11685943603516,1.0,hc,2,0.046875,51.756690979003906,67.11685943603516,67.11685943603516,51.756690979003906,67.11685943603516,67.11685943603516,1.0,0,4771.054091571015
5000,4.7465620040893555,0.046875,74.58419036865234,74.58419036865234,1.0,hc,2,0.046875,48.8438606262207,74.58419036865234,74.58419036865234,48.8438606262207,74.58419036865234,74.58419036865234,1.0,0,5312.177735124016
5500,4.835148811340332,0.015625,55.43672180175781,55.43672180175781,1.0,hc,2,0.015625,40.520565032958984,55.43672180175781,55.43672180175781,40.520565032958984,55.43672180175781,55.43672180175781,1.0,0,5843.43910152209
6000,4.829119682312012,0.03125,91.62857055664062,91.62857055664062,1.0,hc,2,0.03125,65.65675354003906,91.62857055664062,91.62857055664062,65.65675354003906,91.62857055664062,91.62857055664062,1.0,0,6411.776461973088
6500,4.653501510620117,0.0625,129.89356994628906,129.89356994628906,1.0,hc,2,0.0625,86.38771057128906,129.89356994628906,129.89356994628906,86.38771057128906,129.89356994628906,129.89356994628906,1.0,0,6982.80533628806
7000,4.6939287185668945,0.0625,183.49717712402344,183.49717712402344,1.0,hc,2,0.0625,160.73178100585938,183.49717712402344,183.49717712402344,160.73178100585938,183.49717712402344,183.49717712402344,1.0,0,7551.778553048032
7500,4.670090198516846,0.0625,452.2993469238281,452.2993469238281,1.0,hc,2,0.0625,287.743896484375,452.2993469238281,452.2993469238281,287.743896484375,452.2993469238281,452.2993469238281,1.0,0,8081.598619347089
8000,4.548604965209961,0.078125,740.982421875,740.982421875,1.0,hc,2,0.078125,498.75390625,740.982421875,740.982421875,498.75390625,740.982421875,740.982421875,1.0,0,8636.73869274708
8500,4.407965660095215,0.078125,450.7313537597656,450.7313537597656,1.0,hc,2,0.078125,373.8099060058594,450.7313537597656,450.7313537597656,373.8099060058594,450.7313537597656,450.7313537597656,1.0,0,9205.976085031056
9000,4.38926887512207,0.109375,359.0831298828125,359.0831298828125,1.0,hc,2,0.109375,314.727294921875,359.0831298828125,359.0831298828125,314.727294921875,359.0831298828125,359.0831298828125,1.0,0,9778.36895380111
9500,4.385358810424805,0.0625,316.56488037109375,316.56488037109375,1.0,hc,2,0.0625,278.84222412109375,316.56488037109375,316.56488037109375,278.84222412109375,316.56488037109375,316.56488037109375,1.0,0,10349.425050602062
10000,4.472648620605469,0.109375,624.05615234375,624.05615234375,1.0,hc,2,0.109375,439.3855895996094,624.05615234375,624.05615234375,439.3855895996094,624.05615234375,624.05615234375,1.0,0,10921.433851164067
10500,4.29334831237793,0.109375,163.7090301513672,163.7090301513672,1.0,hc,2,0.109375,158.22238159179688,163.7090301513672,163.7090301513672,158.22238159179688,163.7090301513672,163.7090301513672,1.0,0,11493.141878806055
11000,4.170407772064209,0.109375,112.07180786132812,112.07180786132812,1.0,hc,2,0.109375,112.07180786132812,80.78923034667969,112.07180786132812,112.07180786132812,80.78923034667969,112.07180786132812,1.0,0,12064.21147474309
11500,4.294122695922852,0.125,149.39891052246094,149.39891052246094,1.0,hc,2,0.125,128.36563110351562,149.39891052246094,149.39891052246094,128.36563110351562,149.39891052246094,149.39891052246094,1.0,0,12634.054059104063
12000,4.354167938232422,0.109375,156.30953979492188,156.30953979492188,1.0,hc,2,0.109375,156.30953979492188,131.4456787109375,156.30953979492188,156.30953979492188,131.4456787109375,156.30953979492188,1.0,0,13204.669376450009
12500,4.246460914611816,0.125,137.33840942382812,137.33840942382812,1.0,hc,2,0.125,137.33840942382812,126.9579086303711,137.33840942382812,137.33840942382812,126.9579086303711,137.33840942382812,1.0,0,13775.081352920039
13000,4.297269821166992,0.125,116.8262939453125,116.8262939453125,1.0,hc,2,0.125,116.8262939453125,99.60935974121094,116.8262939453125,116.8262939453125,99.60935974121094,116.8262939453125,1.0,0,14346.297991988016
13500,4.017404079437256,0.109375,139.21697998046875,139.21697998046875,1.0,hc,2,0.109375,139.21697998046875,111.26559448242188,139.21697998046875,139.21697998046875,111.26559448242188,139.21697998046875,1.0,0,14888.646164035075
14000,4.287012100219727,0.109375,124.19259643554688,124.19259643554688,1.0,hc,2,0.109375,124.19259643554688,111.616455078125,124.19259643554688,124.19259643554688,111.616455078125,124.19259643554688,1.0,0,15405.400054655038
14500,4.151122093200684,0.109375,110.97158813476562,110.97158813476562,1.0,hc,2,0.109375,86.5534896850586,110.97158813476562,110.97158813476562,86.5534896850586,110.97158813476562,110.97158813476562,1.0,0,15957.065120250103
14999,3.8799800872802734,0.125,110.35137176513672,110.35137176513672,1.0,hc,2,0.125,100.24838256835938,110.35137176513672,110.35137176513672,100.24838256835938,110.35137176513672,110.35137176513672,1.0,0,16490.599592072074
