step,loss,accuracy,raw_gain,applied_gain,scale,mode,seed,acc,gain_raw_row,gain_raw_col,gain_raw_max,gain_applied_row,gain_applied_col,gain_applied_max,harm_scale,floor_hits,wall_time_sec
0,5.782978057861328,0.0,1.509186029434204,1.0291869640350342,1.0,mhc,0,0.0,1.509186029434204,1.3920432329177856,1.509186029434204,1.0289206504821777,1.0291869640350342,1.0291869640350342,1.0,0,1.2717164380010217
500,4.817687511444092,0.0,1.488532543182373,1.0300911664962769,1.0,mhc,0,0.0,1.488532543182373,1.4515602588653564,1.488532543182373,1.030008316040039,1.0300911664962769,1.0300911664962769,1.0,0,288.42235167883337
1000,4.8621721267700195,0.015625,1.744857668876648,1.0305590629577637,1.0,mhc,0,0.015625,1.6085495948791504,1.744857668876648,1.744857668876648,1.0301876068115234,1.0305590629577637,1.0305590629577637,1.0,0,575.8423814368434
1500,4.855527877807617,0.03125,2.380995750427246,1.0302231311798096,1.0,mhc,0,0.03125,2.2451353073120117,2.380995750427246,2.380995750427246,1.0300040245056152,1.0302231311798096,1.0302231311798096,1.0,0,863.3070848418865
2000,4.9002275466918945,0.0,2.8829405307769775,1.029639720916748,1.0,mhc,0,0.0,2.5484485626220703,2.8829405307769775,2.8829405307769775,1.029630422592163,1.029639720916748,1.029639720916748,1.0,0,1150.7749708709307
2500,4.800955295562744,0.03125,4.640007972717285,1.029146432876587,1.0,mhc,0,0.03125,4.640007972717285,4.504942417144775,4.640007972717285,1.0285909175872803,1.029146432876587,1.029146432876587,1.0,0,1438.2372822379693
3000,4.876371383666992,0.015625,46.67181396484375,1.0289989709854126,1.0,mhc,0,0.015625,38.63536071777344,46.67181396484375,46.67181396484375,1.0287539958953857,1.0289989709854126,1.0289989709854126,1.0,0,1725.7116061439738
3500,4.767986297607422,0.015625,94.51580810546875,1.030686855316162,1.0,mhc,0,0.015625,77.72010803222656,94.51580810546875,94.51580810546875,1.030686855316162,1.0303395986557007,1.030686855316162,1.0,0,2013.2245117209386
4000,4.688451766967773,0.109375,106.43758392333984,1.0277043581008911,1.0,mhc,0,0.109375,90.9207992553711,106.43758392333984,106.43758392333984,1.0275044441223145,1.0277043581008911,1.0277043581008911,1.0,0,2300.731461626012
4500,4.696619987487793,0.078125,101.01953887939453,1.0280183553695679,1.0,mhc,0,0.078125,88.53097534179688,101.01953887939453,101.01953887939453,1.0280183553695679,1.027947187423706,1.0280183553695679,1.0,0,2588.234113225946
5000,4.813281536102295,0.03125,113.45963287353516,1.028586506843567,1.0,mhc,0,0.03125,113.45963287353516,106.96156311035156,113.45963287353516,1.0284231901168823,1.028586506843567,1.028586506843567,1.0,0,2875.7632378439885
5500,4.69990348815918,0.109375,106.547607421875,1.028964877128601,1.0,mhc,0,0.109375,105.23512268066406,106.547607421875,106.547607421875,1.0286812782287598,1.028964877128601,1.028964877128601,1.0,0,3163.2713741639163
6000,4.7344465255737305,0.0625,107.87235260009766,1.0286455154418945,1.0,mhc,0,0.0625,107.87235260009766,107.27374267578125,107.87235260009766,1.0282593965530396,1.0286455154418945,1.0286455154418945,1.0,0,3450.8024874168914
6500,4.816847801208496,0.046875,108.07685852050781,1.0279324054718018,1.0,mhc,0,0.046875,102.27777099609375,108.07685852050781,108.07685852050781,1.0277681350708008,1.0279324054718018,1.0279324054718018,1.0,0,3738.3200281718746
7000,4.666897773742676,0.0625,119.91541290283203,1.0277931690216064,1.0,mhc,0,0.0625,119.91541290283203,116.97795104980469,119.91541290283203,1.0277931690216064,1.0275293588638306,1.0277931690216064,1.0,0,4025.818005061941
7500,4.615378379821777,0.09375,133.12127685546875,1.028160810470581,1.0,mhc,0,0.09375,133.12127685546875,123.50283813476562,133.12127685546875,1.028160810470581,1.0277763605117798,1.028160810470581,1.0,0,4313.329916683026
8000,4.631970405578613,0.078125,183.49534606933594,1.025632619857788,1.0,mhc,0,0.078125,183.49534606933594,142.27403259277344,183.49534606933594,1.025632619857788,1.0252511501312256,1.025632619857788,1.0,0,4600.8117652540095
8500,4.634457588195801,0.078125,177.988037109375,1.0265591144561768,1.0,mhc,0,0.078125,177.988037109375,170.67645263671875,177.988037109375,1.0265591144561768,1.0262038707733154,1.0265591144561768,1.0,0,4888.25636044587
9000,4.798639297485352,0.03125,120.75457763671875,1.0267350673675537,1.0,mhc,0,0.03125,120.75457763671875,107.81832122802734,120.75457763671875,1.0263937711715698,1.0267350673675537,1.0267350673675537,1.0,0,5175.688167904038
9500,4.74233865737915,0.015625,167.990478515625,1.0261387825012207,1.0,mhc,0,0.015625,167.990478515625,113.66670227050781,167.990478515625,1.0259681940078735,1.0261387825012207,1.0261387825012207,1.0,0,5462.890572995879
10000,4.657895088195801,0.078125,605.268798828125,1.0278536081314087,1.0,mhc,0,0.078125,605.268798828125,346.4890441894531,605.268798828125,1.0278536081314087,1.0274258852005005,1.0278536081314087,1.0,0,5750.076496761991
10500,4.548990249633789,0.09375,388.6678466796875,1.0246068239212036,1.0,mhc,0,0.09375,388.6678466796875,229.28285217285156,388.6678466796875,1.0245332717895508,1.0246068239212036,1.0246068239212036,1.0,0,6037.277863643831
11000,4.668398380279541,0.03125,153.38267517089844,1.0275368690490723,1.0,mhc,0,0.03125,153.38267517089844,107.84053802490234,153.38267517089844,1.027456521987915,1.0275368690490723,1.0275368690490723,1.0,0,6324.4879029078875
11500,4.526076316833496,0.078125,112.9334716796875,1.0261735916137695,1.0,mhc,0,0.078125,112.9334716796875,92.2936019897461,112.9334716796875,1.0261735916137695,1.0258837938308716,1.0261735916137695,1.0,0,6611.721063155914
12000,4.6646037101745605,0.03125,103.77688598632812,1.0270845890045166,1.0,mhc,0,0.03125,103.77688598632812,86.06068420410156,103.77688598632812,1.0265032052993774,1.0270845890045166,1.0270845890045166,1.0,0,6898.896477225935
12500,4.59281063079834,0.109375,139.83428955078125,1.0258698463439941,1.0,mhc,0,0.109375,139.83428955078125,129.9005126953125,139.83428955078125,1.0251377820968628,1.0258698463439941,1.0258698463439941,1.0,0,7186.098685482051
13000,4.574361801147461,0.09375,133.6685028076172,1.025968313217163,1.0,mhc,0,0.09375,133.6685028076172,131.01687622070312,133.6685028076172,1.0257385969161987,1.025968313217163,1.025968313217163,1.0,0,7473.335165995872
13500,4.619585990905762,0.125,128.51971435546875,1.0259661674499512,1.0,mhc,0,0.125,128.51971435546875,124.29727172851562,128.51971435546875,1.0251822471618652,1.0259661674499512,1.0259661674499512,1.0,0,7760.553540268913
14000,4.650506019592285,0.046875,138.2381134033203,1.0262994766235352,1.0,mhc,0,0.046875,138.2381134033203,131.64877319335938,138.2381134033203,1.0259186029434204,1.0262994766235352,1.0262994766235352,1.0,0,8047.778196759988
14500,4.627820014953613,0.109375,142.79824829101562,1.0274138450622559,1.0,mhc,0,0.109375,133.9293212890625,142.79824829101562,142.79824829101562,1.0274138450622559,1.027315616607666,1.0274138450622559,1.0,0,8334.61426430894
